type	weight	node_a	node_b	shared
entity	2	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	zshbuiltins:SHELL BUILTIN COMMANDS › setopt [ {+|-}options | {+|-}o option_name ] [ -m ] [ name ... ]	POSIX KSH_OPTION_PRINT
entity	2	zshoptions:DESCRIPTION OF OPTIONS › Shell State	zshoptions:OPTION ALIASES	SHIN_STDIN SINGLE_COMMAND
entity	2	zshoptions:DESCRIPTION OF OPTIONS › Shell State	zshbuiltins:SHELL BUILTIN COMMANDS › setopt [ {+|-}options | {+|-}o option_name ] [ -m ] [ name ... ]	INTERACTIVE SHIN_STDIN
entity	2	zshoptions:SINGLE LETTER OPTIONS › Default set	zshbuiltins:SHELL BUILTIN COMMANDS › cd [ -qsLP ] {+|-}n	CHASE_LINKS CDABLE_VARS
entity	2	zshoptions:SINGLE LETTER OPTIONS › Default set	zshbuiltins:SHELL BUILTIN COMMANDS › pushd [ -qsLP ] {+|-}n	PUSHD_SILENT PUSHD_TO_HOME
entity	2	zshoptions:SINGLE LETTER OPTIONS › Default set	zshbuiltins:SHELL BUILTIN COMMANDS › setopt [ {+|-}options | {+|-}o option_name ] [ -m ] [ name ... ]	INTERACTIVE SHIN_STDIN
entity	2	zshbuiltins:SHELL BUILTIN COMMANDS › cd [ -qsLP ] {+|-}n	zshbuiltins:SHELL BUILTIN COMMANDS › pushd [ -qsLP ] {+|-}n	HOME PUSHD_MINUS
entity	2	zshbuiltins:SHELL BUILTIN COMMANDS › functions +M [ -m ] mathfn ...	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	WRONG RIGHT
vocab	0.678	zshbuiltins:SHELL BUILTIN COMMANDS › popd [ -q ] [ {+|-}n ]	zshbuiltins:SHELL BUILTIN COMMANDS › pushd [ -qsLP ] {+|-}n	stack directory cd entry meanings
vocab	0.642	zshbuiltins:SHELL BUILTIN COMMANDS › unalias [ -ams ] name ...	zshbuiltins:SHELL BUILTIN COMMANDS › unhash [ -adfms ] name ...	unhash aliases remove suffix global
vocab	0.597	zshbuiltins:SHELL BUILTIN COMMANDS › limit [ -hs ] [ resource [ limit ] ] ...	zshbuiltins:SHELL BUILTIN COMMANDS › ulimit [ -HSa ] [ { -bcdfiklmnpqrsTtvwx | -N resource } [ limit ] ... ]	resource limits limit size resources
vocab	0.577	zshmisc:JOBS	zshoptions:DESCRIPTION OF OPTIONS › Job Control	job jobs suspended background monitor
vocab	0.572	zshbuiltins:SHELL BUILTIN COMMANDS › cd [ -qsLP ] {+|-}n	zshbuiltins:SHELL BUILTIN COMMANDS › pushd [ -qsLP ] {+|-}n	directory arg change cd stack
vocab	0.537	zshbuiltins:SHELL BUILTIN COMMANDS › disable [ -afmprs ] name ...	zshbuiltins:SHELL BUILTIN COMMANDS › enable [ -afmprs ] name ...	disable act hash disabled table
