type	weight	section_a	section_b	shared_pointers
vocab	0.178	zshmisc:COMMAND EXECUTION	zshbuiltins:SHELL BUILTIN COMMANDS	file format name function status printed
vocab	0.177	zshmisc:SIMPLE COMMANDS & PIPELINES	zshmisc:SPECIAL FUNCTIONS	executed status sublist signal list terminated
vocab	0.175	zshmisc:CONDITIONAL EXPRESSIONS	zshoptions:DESCRIPTION OF OPTIONS	file true pattern if match warning
vocab	0.174	zshexpn:FILENAME EXPANSION	zshparam:PARAMETERS USED BY THE SHELL	directory reply stack array path should
vocab	0.174	zshparam:DESCRIPTION	zshparam:PARAMETERS SET BY THE SHELL	value type array assigning parameters environment
vocab	0.173	zshmisc:COMPLEX COMMANDS	zshexpn:FILENAME GENERATION	list pattern parentheses match errors word
vocab	0.173	zshmisc:REDIRECTION	zshexpn:PARAMETER EXPANSION	word substitution output quotes then file
vocab	0.173	zshmisc:AUTOLOADING FUNCTIONS	zshoptions:DESCRIPTION OF OPTIONS	function file functions definition directory element
vocab	0.173	zshmisc:SIMPLE PROMPT ESCAPES	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	truncation day negative specifies current prompt
vocab	0.173	zshexpn:PARAMETER EXPANSION	zshexpn:FILENAME EXPANSION	name array match word then directory
vocab	0.172	zshmisc:FUNCTIONS	zshmisc:AUTOLOADING FUNCTIONS	function functions calls undefined executed funcname
vocab	0.171	zshmisc:COMPLEX COMMANDS	zshexpn:PARAMETER EXPANSION	word words pattern name list then
vocab	0.171	zshmisc:ANONYMOUS FUNCTIONS	zshoptions:DESCRIPTION OF OPTIONS	function local functions definitions brace this
vocab	0.171	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshexpn:PARAMETER EXPANSION	array elements string true length character
vocab	0.171	zshparam:DESCRIPTION	zshparam:PARAMETERS USED BY THE SHELL	value array environment parameter variable type
vocab	0.17	zshmisc:ANONYMOUS FUNCTIONS	zshbuiltins:SHELL BUILTIN COMMANDS	function arguments functions name local definition
vocab	0.168	zshexpn:PROCESS SUBSTITUTION	zshoptions:DESCRIPTION OF OPTIONS	file list completion this job cut
vocab	0.166	zshmisc:COMPLEX COMMANDS	zshmisc:REDIRECTION	word list then error standard input
vocab	0.166	zshmisc:CONDITIONAL EXPRESSIONS	zshexpn:PROCESS SUBSTITUTION	file file2 file1 fd process dev
vocab	0.166	zshparam:POSITIONAL PARAMETERS	zshparam:PARAMETERS SET BY THE SHELL	argv positional array parameters assigning script
vocab	0.165	zshmisc:EXPANSION OF PROMPT SEQUENCES	zshexpn:HISTORY EXPANSION	expansion history event character prompt complicated
vocab	0.165	zshparam:ARRAY PARAMETERS	zshparam:POSITIONAL PARAMETERS	array values arrays positional value ksh_arrays
vocab	0.164	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshoptions:DESCRIPTION OF OPTIONS	prompt true character directory array if
vocab	0.164	zshexpn:DESCRIPTION	zshoptions:DESCRIPTION OF OPTIONS	expansion history alias filename performed ksh
